Czas Odczytu,Wartość
2025-01-02 14:30:05,22.0 °C
2025-01-02 14:30:05,22.0 °C
2025-01-02 14:30:06,22.0 °C
2025-01-02 14:30:06,22.0 °C
2025-01-02 14:30:07,22.0 °C
2025-01-02 14:30:07,22.0 °C
2025-01-02 14:30:08,22.0 °C
2025-01-02 14:30:08,22.0 °C
2025-01-02 14:30:09,22.0 °C
2025-01-02 14:30:09,22.0 °C
2025-01-02 14:30:10,22.0 °C
2025-01-02 14:30:10,22.0 °C
2025-01-02 14:30:11,22.0 °C
2025-01-02 14:30:11,22.0 °C
2025-01-02 14:30:12,22.0 °C
2025-01-02 14:30:12,22.0 °C
2025-01-02 14:30:12,22.0 °C
2025-01-02 14:30:13,22.0 °C
2025-01-02 14:30:13,22.0 °C
2025-01-02 14:30:14,22.0 °C
2025-01-02 14:30:14,22.0 °C
2025-01-02 14:30:15,22.0 °C
